ticket_id,year,date,company_id,management_id,status_id,phone1_id,phone2_id,phone3_id,question_id,solve_id
186,2026,NULL,3714,NULL,854,596,NULL,2684,177,10521
187,2026,NULL,1516,412,796,NULL,1448,NULL,119,14981
188,2026,NULL,3916,533,854,NULL,4176,NULL,107,14981
189,2026,NULL,2209,NULL,1332,NULL,4458,NULL,126,NULL
190,2026,NULL,3983,NULL,1881,NULL,NULL,580,8,14981
191,2026,NULL,5578,NULL,939,NULL,4554,NULL,85,8472
192,2026,NULL,5329,NULL,1332,NULL,NULL,764,36,5136
193,2026,NULL,1612,685,728,777,NULL,NULL,48,15170
194,2026,NULL,3348,NULL,788,NULL,915,NULL,160,20881
195,2026,NULL,3515,508,1529,NULL,551,NULL,76,15670
196,2026,NULL,6298,NULL,820,NULL,NULL,7401,158,20881
197,2026,NULL,1147,NULL,796,NULL,NULL,3303,167,20881
198,2026,NULL,2029,NULL,784,NULL,4930,NULL,16,1082
199,2026,NULL,3893,NULL,854,NULL,3820,1848,146,20881
200,2026,NULL,6704,NULL,854,NULL,3656,NULL,156,20881
201,2026,NULL,6246,436,847,NULL,NULL,5527,43,8727
202,2026,NULL,5458,NULL,811,1166,NULL,NULL,142,8647
203,2026,NULL,6334,NULL,1444,NULL,NULL,2817,156,20881
204,2026,NULL,6635,626,1332,NULL,4238,NULL,143,22069
205,2026,NULL,3714,NULL,854,NULL,NULL,2684,156,8647
206,2026,NULL,5784,NULL,801,NULL,NULL,8096,35,15170
207,2026,NULL,2773,341,687,1229,NULL,NULL,62,9207
208,2026,NULL,2902,NULL,1332,NULL,5249,NULL,30,14981
209,2026,NULL,3983,NULL,1881,NULL,2457,NULL,6,20881
210,2026,NULL,6276,648,1727,NULL,NULL,488,156,22535
211,2026,NULL,2725,701,796,NULL,NULL,4227,156,8900
212,2026,NULL,6418,NULL,820,NULL,NULL,6351,87,20881
213,2026,NULL,3083,NULL,820,NULL,322,8249,115,21031
214,2026,NULL,1169,846,1005,NULL,NULL,1505,101,8647
215,2026,NULL,2189,NULL,806,NULL,1316,NULL,42,8647
216,2026,NULL,5458,NULL,811,1166,NULL,NULL,118,9258
217,2026,NULL,3714,NULL,854,NULL,NULL,1068,156,8647
218,2026,NULL,5527,312,854,NULL,5044,NULL,97,14057
219,2026,NULL,5830,605,721,NULL,798,NULL,117,19295
220,2026,NULL,1207,NULL,801,NULL,1701,NULL,156,20881
221,2026,NULL,2029,NULL,784,NULL,4930,NULL,109,14981
222,2026,NULL,6175,NULL,784,NULL,3806,NULL,17,991
223,2026,NULL,2486,NULL,820,NULL,2557,NULL,156,8359
224,2026,NULL,6418,NULL,820,NULL,NULL,6351,142,20991
225,2026,NULL,4614,NULL,811,76,NULL,NULL,30,5477
226,2026,NULL,3926,NULL,1880,NULL,3244,NULL,9,15170
227,2026,NULL,5298,NULL,788,NULL,1741,NULL,175,21099
228,2026,NULL,6054,803,672,NULL,NULL,5589,161,22244
229,2026,NULL,1987,NULL,796,NULL,NULL,6196,190,20881
230,2026,NULL,5298,NULL,788,NULL,1741,NULL,168,21124
231,2026,NULL,6118,NULL,939,NULL,NULL,3603,169,14629
232,2026,NULL,6533,NULL,839,NULL,NULL,6029,188,20881
233,2026,NULL,3714,NULL,854,NULL,NULL,2684,184,8647
234,2026,NULL,5578,NULL,939,NULL,4554,NULL,98,22585
235,2026,NULL,5538,NULL,1332,NULL,NULL,4670,19,20881
236,2026,NULL,6118,NULL,940,NULL,NULL,3603,174,20881
237,2026,NULL,5652,NULL,1772,NULL,3611,NULL,67,4383
238,2026,NULL,1223,NULL,806,NULL,5263,NULL,103,20881
239,2026,NULL,5411,NULL,820,NULL,4366,NULL,23,8647
240,2026,NULL,1372,720,788,NULL,233,NULL,110,5477
241,2026,NULL,4856,NULL,796,NULL,NULL,61,50,8647
242,2026,NULL,7391,NULL,839,NULL,3545,NULL,55,18075
243,2026,NULL,7181,NULL,806,NULL,491,NULL,81,NULL
244,2026,NULL,5828,NULL,866,NULL,4437,NULL,62,5206
245,2026,NULL,6411,NULL,796,NULL,NULL,6859,157,20881
246,2026,NULL,6465,387,700,NULL,4631,NULL,112,3958
