phone1_id,phone1,new_phone1_id
436,02-168-0001-3,NULL
437,02-168-0002,NULL
438,02-168-1151(นิติฯ),NULL
439,02-168-6000#2006,NULL
440,02-168-6000#2006(นิติฯ),NULL
441,02-168-6000-1,NULL
442,02-1686000ต่อ2006,NULL
443,02-169-1591,NULL
444,02-169-1591-2,NULL
445,02-169-1591-2กด0,NULL
446,02-169-1591-2กด0(นิติฯ),NULL
447,02-169-1591-2กด0,NULL
448,02-169-1591-2กด0(นิติ),NULL
449,02-169-1591-2ต่อ2104(นิติฯ),NULL
450,02-169-1591-2(นิติ),NULL
451,02-169-2238#100,NULL
452,02-169-2238(นิติฯ),NULL
453,02-169-2238(นิติฯ),NULL
454,02-169-9401,NULL
455,02-169-9700(นิติฯ),NULL
456,02-170-7689,NULL
457,02-1708888,NULL
458,02-171-0828,NULL
459,02-171-1024(นิติฯ),NULL
460,02-171-1735,NULL
461,02-171-1735(นิติ),NULL
462,02-171-1735(นิติฯ),NULL
463,02-1714956,NULL
464,02-171-4956,NULL
465,02-171-7701,NULL
466,02-1717782,NULL
467,02-171-7782,NULL
468,02-173-0001-3#1105,NULL
469,02-173-9671,NULL
470,02-173-9671(นิติฯ),NULL
471,02-174-0195(นิติฯ),NULL
472,02-174-0844,NULL
473,02-174-0844(นิติฯ),NULL
474,02-174-0866(นิติฯ),NULL
475,02-174-4408(นิติฯ),NULL
476,02-174-5386,NULL
477,02-175-0600(นิติฯ),NULL
478,02-175-4804,NULL
479,02-175-4804(นิติฯ),NULL
480,02-175-5779,NULL
481,02-175-5779,NULL
482,02-178-0601,NULL
483,02-178-0601(นิติฯ),NULL
484,02-178-0601(นิติฯ),NULL
485,02-178-0601(นิติฯ),NULL
486,02-178-060102-178-0602(นิติฯ),NULL
487,02-178-0601-2,NULL
488,02-178-0601-2(นิติฯ),NULL
489,02-178-0602(นิติฯ),NULL
490,02-178-1112,NULL
491,02-178-1873(นิติฯ),NULL
492,02-178-4169,NULL
493,02-178-4169(นิติฯ),NULL
494,02-178-4169,NULL
495,02-178-5983,NULL
496,02-178-7027(นิติฯ),NULL
497,02-178-7288,NULL
498,02-178-7288(ระบบใช้บริการไม่ได้),NULL
499,02-178-7465,NULL
500,02-1788286,NULL
501,02-178-8286,NULL
502,02-178-8286(นิติฯ),NULL
503,02-178-8286,NULL
504,02-178-8287,NULL
505,02-178-8287(นิติฯ),NULL
506,02-181-5111,NULL
507,02-181-5111,NULL
508,02-183-6104(นิติ),NULL
509,02-183-6692,NULL
510,02-184-1456,NULL
511,02-184-1456(นิติฯ),NULL
512,02-184-1456,NULL
513,02-184-1456(นิติฯ),NULL
514,02-184-1754,NULL
515,02-184-4924,NULL
516,02-184-4924(นิติฯ),NULL
517,02-184-6118,NULL
518,02-184-6118(นิติฯ),NULL
519,02-184-6697,NULL
520,02-184-6697(นิติฯ),NULL
521,02-184-6697,NULL
522,02-185-3671#8000,NULL
523,02-185-3671#8001,NULL
524,02-185-3671#8001(นิติฯ),NULL
525,02-185-3671#8001,NULL
526,02-185-3671(นิติฯ),NULL
527,02-185-3671-6#8001,NULL
528,02-185-3671-6#8001,NULL
529,02-185-3671-6ต่อ8001(นิติฯ),NULL
530,02-185-3671-6#8000,NULL
531,02-185-3671-6#8001,NULL
532,02-186-1661,NULL
533,02-186-1661(นิติฯ),NULL
534,02-1861667,NULL
535,02-186-4310(นิติฯ),NULL
536,02-186-4310,NULL
537,02-186-4555(นิติ),NULL
538,02-186-6730,NULL
539,02-186-6732(นิติฯ),NULL
540,02-187-0977,NULL
541,02-187-2935,NULL
542,02-187-3714,NULL
543,02-187-3714(นิติฯ),NULL
544,02-1873722,NULL
545,02-187-3912,NULL
546,02-190-0025(บริษัท),NULL
547,02-190-0115,NULL
548,02-190-0115(นิติฯ),NULL
549,02-190-0122,NULL
550,02-190-0122(นิติ),NULL
551,02-190-0124(นิติฯ),NULL
552,02-190-0217,NULL
553,02-190-0904,NULL
554,02-190-0904,NULL
555,02-190-2020,NULL
556,02-190-3663(นิติฯ),NULL
557,02-190-4249,NULL
558,02-190-4422(นิติฯ),NULL
559,02-190-8531,NULL
560,02-191-5377,NULL
561,02-191-5377,NULL
562,02-191-6595,NULL
563,02-191-9845(นิติฯ),NULL
564,02-192-0404,NULL
565,02-192-0404(นิติฯ),NULL
566,02-1921083,NULL
567,02-192-4601,NULL
568,02-192-5308(นิติฯ),NULL
569,02-192-6694,NULL
570,02-192-6694(นิติฯ),NULL
571,02-193-1217,NULL
572,02-193-1217(นิติฯ),NULL
573,02-193-3763,NULL
574,02-193-3763(นิติฯ),NULL
575,02-194-1403,NULL
576,02-194-4627,NULL
577,02-194-9358,NULL
578,02-194-9358(นิติฯ),NULL
579,02-194-9358,NULL
580,02-195-0085,NULL
581,02-195-4116,NULL
582,02-195-8686,NULL
583,02-195-8686(นิติฯ),NULL
584,02-196-2501,NULL
585,02-196-2726,NULL
586,02-196-2726-7,NULL
587,02-196-2726-7,NULL
588,02-196-8541(นิติฯ),NULL
589,02-197-4556,NULL
590,02-197-4556(นิติฯ),NULL
591,02-197-7555(นิติฯ),NULL
592,02-197-8771,NULL
593,02-199-4022,NULL
594,02-200-9999(Dusit),NULL
595,02-203-0677,NULL
596,02-203-0677(นิติฯ),NULL
597,02-203-0677,NULL
598,02-204-1077(IRM),NULL
599,02-204-1077ต่อ404(IRM),NULL
600,02-204-1077ต่อ505(IRM),NULL
601,02-204-1077ต่อ505(IRM),NULL
602,02-204-1077ต่อ604(บริษัทIRM),NULL
603,02-204-1077ต่อ704,NULL
604,02-204-1077ต่อ800,NULL
605,02-204-1077(IRM),NULL
606,02-204-1077(IRM),NULL
607,02-2041077-82,NULL
608,02-204-1077-82,NULL
609,02-204-1077-82(IRM),NULL
610,02-204-1077-8202-2041077ต่อ702,NULL
611,02-204-1077-8202-204-1077ต่อ702,NULL
612,02-204-1077-82,NULL
613,02-207-3742,NULL
614,02-207-3742(บริษัท),NULL
615,02-208-0523,NULL
616,02-208-0532(นิติฯ),NULL
617,02-212-0347,NULL
618,02-213-1748,NULL
619,02-213-1748(นิติฯ),NULL
620,02-214-2844(บริษัท),NULL
621,02-216-1605(นิติฯ),NULL
622,02-216-1605-6,NULL
623,02-216-1605-6(นิติฯ),NULL
624,02-216-1605-6,NULL
625,02-216-2375,NULL
626,02-216-9855,NULL
627,02-228-3894,NULL
628,02-229-4843-4,NULL
629,02-229-4844(นิติฯ),NULL
630,02-231-5800#213,NULL
631,02-231-6141(นิติฯ),NULL
632,02-233-0206,NULL
633,02-233-0206#101(นิติ),NULL
634,02-233-5456,NULL
635,02-233-5456(นิติฯ),NULL
636,02-233-5456,NULL
637,02-233-8387(นิติฯ),NULL
638,02-234-7025,NULL
639,02-234-7026,NULL
640,02-236-5821(บริษัท),NULL
641,02-237-1866,NULL
642,02-237-2552ต่อ3010-3012(นิติฯ),NULL
643,02-237-8817,NULL
644,02-237-8817(นิติฯ),NULL
645,02-237-8817,NULL
646,02-238-1129,NULL
647,02-238-1300#13(นิติฯ),NULL
648,02-238-1300(นิติฯ),NULL
649,02-238-1300ต่อ13(นิติฯ),NULL
650,02-238-1300ต่อ25(นิติฯ),NULL
651,02-238-1300-2(นิติฯ),NULL
652,02-238-1315(นิติฯ),NULL
653,02-238-1315(PPM)02-260-6000#107(คุณมะเหมี่ยว),NULL
654,02-238-3894(นิติฯ),NULL
655,02-238-5886,NULL
656,02-238-5886(นิติฯ),NULL
657,02-238-5886,NULL
658,02-238-6580(นิติฯ),NULL
659,02-240-2477,NULL
660,02-240-2477(นิติฯ),NULL
661,02-240-2477,NULL
662,02-241-0341,NULL
663,02-241-0341(นิติฯ),NULL
664,02-241-0341(นิติฯ),NULL
665,02-241-0341(นิติฯ),NULL
666,02-242-1783(นิติฯ),NULL
667,02-243-761202-243-7644,NULL
668,02-243-7644,NULL
669,02-243-764402-243-7612,NULL
670,02-243-7644,NULL
671,02-245-2244,NULL
672,02-245-2244(นิติฯ),NULL
673,02-245-2244,NULL
674,02-245-4418(นิติฯ),NULL
675,02-246-2341,NULL
676,02-246-2341กด13(นิติฯ),NULL
677,02-246-2341(นิติฯ),NULL
678,02-246-4441,NULL
679,02-2464611,NULL
680,02-246-4611,NULL
681,02-246-5275,NULL
682,02-247-0180#11,NULL
683,02-247-0180#11,NULL
684,02-247-7227(นิติ),NULL
685,02-247-7272(นิติ),NULL
686,02-247-7586-7,NULL
687,02-247-7586-7(บริษัท),NULL
688,02-247-7586-7(บริษัท),NULL
689,02-247-9847(นิติฯ),NULL
690,02-248-0986,NULL
691,02-248-2451(นิติฯ),NULL
692,02-248-8299,NULL
693,02-249-0099,NULL
694,02-249-2361,NULL
695,02-249-2361(บริษัท),NULL
696,02-249-3440(นิติฯ),NULL
697,02-249-5522,NULL
698,02-249-5522,NULL
699,02-249-8609,NULL
700,02-249-8609(นิติฯ),NULL
701,02-249-8849,NULL
702,02-249-8849(นิติฯ),NULL
703,02-249-8849(นิติฯ),NULL
704,02-250-1001#402,NULL
705,02-250-1001,NULL
706,02-250-1001-3(นิติฯ),NULL
707,02-250-1001-3,NULL
708,02-250-7764,NULL
709,02-250-7802-3#303(นิติฯ),NULL
710,02-252-1420,NULL
711,02-252-1684,NULL
712,02-252-1684กด17,NULL
713,02-252-1684กด17(บริษัท),NULL
714,02-252-1684(บริษัท),NULL
715,02-252-2703-4-5#224,NULL
716,02-252-3845,NULL
717,02-252-4700,NULL
718,02-252-6126,NULL
719,02-252-6126(นิติฯ),NULL
720,02-252-676702-252-2703-4-5#224222,NULL
721,02-252-676702-252-2703-4-5#224222,NULL
722,02-252-7242,NULL
723,02-252-7242,NULL
724,02-252-7242กด0,NULL
725,02-252-7242กด0,NULL
726,02-254-0731(นิติฯ),NULL
727,02-254-0731กด0(นิติฯ),NULL
728,02-254-4405,NULL
729,02-254-4405(นิติฯ),NULL
730,02-254-4405,NULL
731,02-254-5945,NULL
732,02-254-6032(นิติฯ),NULL
733,02-254-7125-6(บริษัท),NULL
734,02-254-7200(นิติฯ),NULL
735,02-254-7200-2(นิติฯ),NULL
