company_id,genre,company
307,company,โมบิลไซน์ เซ็นเตอร์ จำกัด
308,company,โรงเรียนนานาชาติ เอไอเอสบี รามอินทรา
309,company,โรงเรียนบุญญวิทยาคาร
310,company,โรงเรียนอนุบาลนานาชาติลิตเติ้ล โคอาล่า
311,company,โรงเรียนอนุบาลนานาชาติลิตเติ้ลโคอาล่า
312,company,โรส แมเนจเม้นท์ จำกัด
313,company,โอเพ่น เทคโนโลยี่ จำกัด (มหาชน)
314,company,โอภัส จำกัด
315,company,ไซมิส พร็อพเพอร์ตี้ เซอร์วิส จำกัด
316,company,ไดมอนด์ เอ็กซ์เพรส (ไทยแลนด์) จำกัด
317,company,ไดมอนด์ พร็อพเพอร์ตี้ แมเนจเม้นท์ จำกัด
319,company,ไทเทค โปรเซิร์ฟ จำกัด
320,company,ไทย แอซเซ็ท พร็อพเพอร์ตี้ แอนด์ เจ.พี จำกัด
321,company,ไทย แอซเซ็ท พร็อพเพอร์ตี้ จำกัด
323,company,ไทย แอสเสท กรุ๊ป จำกัด
324,company,ไทย แอสเสท กรุ๊ป จำกัด (สำนักงานใหญ่)
325,company,ไทยเอสเตท แมเนจเม้นท์ จำกัด
326,company,ไทยแอซเซ็ท แมเนจเมนท์ จำกัด
327,company,ไทยแอซเซ็ท แมเนจเม้นท์ จำกัด
328,company,ไทยคันทรีโฮม หัวหิน จำกัด
329,company,ไทยคันทรีโฮม หัวหิน จำกัด (สำนกงานใหญ่)
330,company,ไทย-วัน พร็อพเพอร์ตี้ จำกัด
331,company,ไทยสตาร์แลนด์ จำกัด
332,company,ไทยสาธิตอพาร์ทเม้นท์ จำกัด
333,company,ไนซ์ โกลบอล อินเตอร์เทรด จำกัด
334,company,ไนท์แฟรงค์ ชาร์เตอร์ (ประเทศไทย)
335,company,ไนท์แฟรงค์ ชาร์เตอร์ (ประเทศไทย) จำกัด
336,company,ไนน์ พร็อพเพอร์ตี้ มาเนจเม้นท์ จำกัด
337,company,ไบรท์ ดีเวลลอปเมนท์ กรุงเทพ จำกัด
338,company,ไบรท์ พร็อพเพอร์ตี้ เซอร์วิส (ไทยแลนด์) จำกัด
339,company,ไบร์ท พร็อพเพอร์ตี้ เซอร์วิสเซส (ประเทศไทย) จำกัด
340,company,ไพร์ม เอสเตท แมเนจเม้นท์ จำกัด
341,company,ไพรม์ พร็อพเพอร์ตี้ กรุ๊ป จำกัด
342,company,ไรมอน แลนด์ จำกัด (มหาชน
343,company,ไรมอน แลนด์ จำกัด (มหาชน)
344,company,ไรมอน แลนด์ ยูนิกซ์ จำกัด
345,company,ไลรา แมเนจเม้นท์ จำกัด
346,company,ไวท์สยาม ดีเวลลอปเม้นท์ จำกัด
347,company,ไวท์สยาม ดีเวลลอปเม้นท์ จำกัด (เฟส 26)
348,company,ไวส์ เอสเตท 7 จำกัด
349,company,ไวส์ ลิฟวิ่งเวล เฮาส์ซิ่ง จำกัด
350,company,ไอ อาร์ เอ็ม เอ็กซ์ตร้า จำกัด
351,company,ไอ อาร์ ซี บี พรอพเพอร์ตี้ แมเนจเมนท์
352,company,ไอ อาร์ ซี บี พรอพเพอร์ตี้ แมเนจเมนท์ จำกัด
353,company,ไอ.จี.เอส. จำกัด
354,company,ไอ.จี.เอส. จำกัด (มหาชน)
355,company,ไอเอฟเอส ฟาซิลิตี้ เซอร์วิสเซส จำกัด
357,company,ไอเอสเอส ฟาซิลิตี้ เซอร์วิส จำกัด
358,company,ไอเอสโอ เรียลเอสเตท จำกัด
359,company,ไอเฮาส์เอเจนซี่ จำกัด
360,company,ไอ-แองเจิล แมเนจเม้นท์ จำกัด
361,company,ไอแอมมีเดียแอนด์คอมพิวเตอร์ จำกัด
